1486748799:  Terminal ready
1486748897:    OK
1486759866:  ld a,(nnnn) / ld (nnnn),a.....  OK
1486759866:  ldd<r> (1)....................  OK
1486759866:  ldd<r> (2)....................  OK
1486759866:  ldi<r> (1)....................  OK
1486759866:  ldi<r> (2)....................  OK
1486759879:  neg...........................  OK
1486759885:  <rrd,rld>.....................  OK
1486759891:  <rlca,rrca,rla,rra>...........  OK
1486759891:  shf/rot (<ix,iy>+1)...........  ERROR **** crc expected:713acd81 found:cb288fcc
1486759900:  shf/rot <b,c,d,e,h,l,(hl),a>..  ERROR **** crc expected:eb604d58 found:fac70e40
1486759909:  <set,res> n,<bcdehl(hl)a>.....  OK
1486759909:  <set,res> n,(<ix,iy>+1).......  OK
1486759910:  ld (<ix,iy>+1),<b,c,d,e>......  OK
1486759911:  ld (<ix,iy>+1),<h,l>..........  OK
1486759911:  ld (<ix,iy>+1),a..............  OK
1486759911:  ld (<bc,de>),a................  OK
1486759911:  Tests completeZ80 instruction exerciser
1486760019:  <adc,sbc> hl,<bc,de,hl,sp>....  OK
1486760073:  add hl,<bc,de,hl,sp>..........  OK
1486760126:  add ix,<bc,de,ix,sp>..........  OK
1486760180:  add iy,<bc,de,iy,sp>..........  OK
1486760207:  aluop a,nn....................  OK
1486761158:  aluop a,<b,c,d,e,h,l,(hl),a>..  OK
1486761643:  aluop a,<ixh,ixl,iyh,iyl>.....  OK
1486761888:  aluop a,(<ix,iy>+1)...........  OK
1486761889:  bit n,(<ix,iy>+1).............  OK
1486761951:  bit n,<b,c,d,e,h,l,(hl),a>....  OK
1486761963:  cpd<r>........................  OK
1486761975:  cpi<r>........................  OK
1486762027:  <daa,cpl,scf,ccf>.............  OK
1486762030:  <inc,dec> a...................  OK
1486762033:  <inc,dec> b...................  OK
1486762034:  <inc,dec> bc..................  OK
1486762037:  <inc,dec> c...................  OK
1486762040:  <inc,dec> d...................  OK
1486762041:  <inc,dec> de..................  OK
1486762044:  <inc,dec> e...................  OK
1486762047:  <inc,dec> h...................  OK
1486762048:  <inc,dec> hl..................  OK
1486762050:  <inc,dec> ix..................  OK
1486762051:  <inc,dec> iy..................  OK
1486762054:  <inc,dec> l...................  OK
1486762057:  <inc,dec> (hl)................  OK
1486762058:  <inc,dec> sp..................  OK
1486762064:  <inc,dec> (<ix,iy>+1).........  OK
1486762067:  <inc,dec> ixh.................  OK
1486762070:  <inc,dec> ixl.................  OK
1486762073:  <inc,dec> iyh.................  OK
1486762076:  <inc,dec> iyl.................  OK
1486762076:  ld <bc,de>,(nnnn).............  OK
1486762076:  ld hl,(nnnn)..................  OK
1486762076:  ld sp,(nnnn)..................  OK
1486762076:  ld <ix,iy>,(nnnn).............  OK
1486762076:  ld (nnnn),<bc,de>.............  OK
1486762076:  ld (nnnn),hl..................  OK
1486762076:  ld (nnnn),sp..................  OK
1486762076:  ld (nnnn),<ix,iy>.............  OK
1486762076:  ld <bc,de,hl,sp>,nnnn.........  OK
1486762076:  ld <ix,iy>,nnnn...............  OK
1486762076:  ld a,<(bc),(de)>..............  OK
1486762076:  ld <b,c,d,e,h,l,(hl),a>,nn....  OK
1486762076:  ld (<ix,iy>+1),nn.............  OK
1486762077:  ld <b,c,d,e>,(<ix,iy>+1)......  OK
1486762077:  ld <h,l>,(<ix,iy>+1)..........  OK
1486762077:  ld a,(<ix,iy>+1)..............  OK
1486762077:  ld <ixh,ixl,iyh,iyl>,nn.......  OK
1486762081:  ld <bcdehla>,<bcdehla>........  OK
1486762090:  ld <bcdexya>,<bcdexya>........  OK
1486762090:  ld a,(nnnn) / ld (nnnn),a.....  OK
1486762090:  ldd<r> (1)....................  OK
1486762090:  ldd<r> (2)....................  OK
1486762090:  ldi<r> (1)....................  OK
1486762091:  ldi<r> (2)....................  OK
1486762103:  neg...........................  OK
1486762110:  <rrd,rld>.....................  OK
1486762115:  <rlca,rrca,rla,rra>...........  OK
1486762116:  shf/rot (<ix,iy>+1)...........  ERROR **** crc expected:713acd81 found:cb288fcc
1486762124:  shf/rot <b,c,d,e,h,l,(hl),a>..  ERROR **** crc expected:eb604d58 found:fac70e40
1486762133:  <set,res> n,<bcdehl(hl)a>.....  OK
1486762134:  <set,res> n,(<ix,iy>+1).......  OK
1486762135:  ld (<ix,iy>+1),<b,c,d,e>......  OK
1486762135:  ld (<ix,iy>+1),<h,l>..........  OK
1486762135:  ld (<ix,iy>+1),a..............  OK
1486762135:  ld (<bc,de>),a................  OK
1486762135:  Tests completeZ80 instruction exerciser
1486762243:  <adc,sbc> hl,<bc,de,hl,sp>....  OK
1486762297:  add hl,<bc,de,hl,sp>..........  OK
1486762351:  add ix,<bc,de,ix,sp>..........  OK
1486762405:  add iy,<bc,de,iy,sp>..........  OK
1486762432:  aluop a,nn....................  OK
1486763383:  aluop a,<b,c,d,e,h,l,(hl),a>..  OK
1486763867:  aluop a,<ixh,ixl,iyh,iyl>.....  OK
1486764112:  aluop a,(<ix,iy>+1)...........  OK
1486764114:  bit n,(<ix,iy>+1).............  OK
1486764175:  bit n,<b,c,d,e,h,l,(hl),a>....  OK
1486764187:  cpd<r>........................  OK
1486764199:  cpi<r>........................  OK
1486764252:  <daa,cpl,scf,ccf>.............  OK
1486764254:  <inc,dec> a...................  OK
1486764257:  <inc,dec> b...................  OK
1486764259:  <inc,dec> bc..................  OK
1486764261:  <inc,dec> c...................  OK
1486764264:  <inc,dec> d...................  OK
1486764266:  <inc,dec> de..................  OK
1486764269:  <inc,dec> e...................  OK
1486764271:  <inc,dec> h...................  OK
1486764273:  <inc,dec> hl..................  OK
1486764274:  <inc,dec> ix..................  OK
1486764276:  <inc,dec> iy..................  OK
1486764279:  <inc,dec> l...................  OK
1486764281:  <inc,dec> (hl)................  OK
1486764283:  <inc,dec> sp..................  OK
1486764289:  <inc,dec> (<ix,iy>+1).........  OK
1486764292:  <inc,dec> ixh.................  OK
1486764294:  <inc,dec> ixl.................  OK
1486764297:  <inc,dec> iyh.................  OK
1486764300:  <inc,dec> iyl.................  OK
1486764300:  ld <bc,de>,(nnnn).............  OK
1486764300:  ld hl,(nnnn)..................  OK
1486764300:  ld sp,(nnnn)..................  OK
1486764300:  ld <ix,iy>,(nnnn).............  OK
1486764300:  ld (nnnn),<bc,de>.............  OK
1486764300:  ld (nnnn),hl..................  OK
1486764300:  ld (nnnn),sp..................  OK
1486764300:  ld (nnnn),<ix,iy>.............  OK
1486764300:  ld <bc,de,hl,sp>,nnnn.........  OK
1486764300:  ld <ix,iy>,nnnn...............  OK
1486764301:  ld a,<(bc),(de)>..............  OK
1486764301:  ld <b,c,d,e,h,l,(hl),a>,nn....  OK
1486764301:  ld (<ix,iy>+1),nn.............  OK
1486764301:  ld <b,c,d,e>,(<ix,iy>+1)......  OK
1486764301:  ld <h,l>,(<ix,iy>+1)..........  OK
1486764301:  ld a,(<ix,iy>+1)..............  OK
1486764302:  ld <ixh,ixl,iyh,iyl>,nn.......  OK
1486764306:  ld <bcdehla>,<bcdehla>........  OK
1486764315:  ld <bcdexya>,<bcdexya>........  OK
1486764315:  ld a,(nnnn) / ld (nnnn),a.....  OK
1486764315:  ldd<r> (1)....................  OK
1486764315:  ldd<r> (2)....................  OK
1486764315:  ldi<r> (1)....................  OK
1486764315:  ldi<r> (2)....................  OK
1486764327:  neg...........................  OK
1486764334:  <rrd,rld>.....................  OK
1486764340:  <rlca,rrca,rla,rra>...........  OK
1486764340:  shf/rot (<ix,iy>+1)...........  ERROR **** crc expected:713acd81 found:cb288fcc
1486764349:  shf/rot <b,c,d,e,h,l,(hl),a>..  ERROR **** crc expected:eb604d58 found:fac70e40
1486764358:  <set,res> n,<bcdehl(hl)a>.....  OK
1486764358:  <set,res> n,(<ix,iy>+1).......  OK
1486764359:  ld (<ix,iy>+1),<b,c,d,e>......  OK
1486764359:  ld (<ix,iy>+1),<h,l>..........  OK
1486764359:  ld (<ix,iy>+1),a..............  OK
1486764359:  ld (<bc,de>),a................  OK
1486764360:  Tests completeZ80 instruction exerciser
1486764468:  <adc,sbc> hl,<bc,de,hl,sp>....  OK
1486764521:  add hl,<bc,de,hl,sp>..........  OK
1486764575:  add ix,<bc,de,ix,sp>..........  OK
1486764629:  add iy,<bc,de,iy,sp>..........  OK
1486764656:  aluop a,nn....................  OK
1486765607:  aluop a,<b,c,d,e,h,l,(hl),a>..  OK
1486766092:  aluop a,<ixh,ixl,iyh,iyl>.....  OK
1486766336:  aluop a,(<ix,iy>+1)...........  OK
1486766338:  bit n,(<ix,iy>+1).............  OK
1486766400:  bit n,<b,c,d,e,h,l,(hl),a>....  OK
1486766412:  cpd<r>........................  OK
1486766424:  cpi<r>........................  OK
1486766476:  <daa,cpl,scf,ccf>.............  OK
1486766479:  <inc,dec> a...................  OK
1486766482:  <inc,dec> b...................  OK
1486766483:  <inc,dec> bc..................  OK
1486766486:  <inc,dec> c...................  OK
1486766489:  <inc,dec> d...................  OK
1486766490:  <inc,dec> de..................  OK
1486766493:  <inc,dec> e...................  OK
1486766496:  <inc,dec> h...................  OK
1486766497:  <inc,dec> hl..................  OK
1486766499:  <inc,dec> ix..................  OK
1486766500:  <inc,dec> iy..................  OK
1486766503:  <inc,dec> l...................  OK
1486766506:  <inc,dec> (hl)................  OK
1486766507:  <inc,dec> sp..................  OK
1486766513:  <inc,dec> (<ix,iy>+1).........  OK
1486766516:  <inc,dec> ixh.................  OK
1486766519:  <inc,dec> ixl.................  OK
1486766522:  <inc,dec> iyh.................  OK
1486766525:  <inc,dec> iyl.................  OK
1486766525:  ld <bc,de>,(nnnn).............  OK
1486766525:  ld hl,(nnnn)..................  OK
1486766525:  ld sp,(nnnn)..................  OK
1486766525:  ld <ix,iy>,(nnnn).............  OK
1486766525:  ld (nnnn),<bc,de>.............  OK
1486766525:  ld (nnnn),hl..................  OK
1486766525:  ld (nnnn),sp..................  OK
1486766525:  ld (nnnn),<ix,iy>.............  OK
1486766525:  ld <bc,de,hl,sp>,nnnn.........  OK
1486766525:  ld <ix,iy>,nnnn...............  OK
1486766525:  ld a,<(bc),(de)>..............  OK
1486766525:  ld <b,c,d,e,h,l,(hl),a>,nn....  OK
1486766525:  ld (<ix,iy>+1),nn.............  OK
1486766526:  ld <b,c,d,e>,(<ix,iy>+1)......  OK
1486766526:  ld <h,l>,(<ix,iy>+1)..........  OK
1486766526:  ld a,(<ix,iy>+1)..............  OK
1486766526:  ld <ixh,ixl,iyh,iyl>,nn.......  OK
1486766530:  ld <bcdehla>,<bcdehla>........  OK
1486766539:  ld <bcdexya>,<bcdexya>........  OK
1486766539:  ld a,(nnnn) / ld (nnnn),a.....  OK
1486766539:  ldd<r> (1)....................  OK
1486766539:  ldd<r> (2)....................  OK
1486766539:  ldi<r> (1)....................  OK
1486766539:  ldi<r> (2)....................  OK
1486766552:  neg...........................  OK
1486766559:  <rrd,rld>.....................  OK
1486766564:  <rlca,rrca,rla,rra>...........  OK
1486766565:  shf/rot (<ix,iy>+1)...........  ERROR **** crc expected:713acd81 found:cb288fcc
1486766573:  shf/rot <b,c,d,e,h,l,(hl),a>..  ERROR **** crc expected:eb604d58 found:fac70e40
1486766582:  <set,res> n,<bcdehl(hl)a>.....  OK
